movie_id,tmdb_id,current_title,localized_title,original_title,original_language,year
128,396535,Train to Busan,부산행,부산행,ko,2016
129,838209,Exhuma,파묘,파묘,ko,2024
344,479787,Lost Youth,버려진 청춘,버려진 청춘,ko,1982
351,496243,Parasite,기생충,기생충,ko,2019
379,1375646,Colony,군체,군체,ko,2026
463,1480387,undertone,언더톤,undertone,en,2026
565,1207162,Rise of the Conqueror,정복자 티무르,Rise of the Conqueror,en,2026
587,467905,How to Make a Killing,하우 투 메이크 어 킬링,How to Make a Killing,en,2026
634,1451344,Husbands in Action,남편들,남편들,ko,2026
669,639988,No Other Choice,어쩔수가없다,어쩔수가없다,ko,2025
969,1058424,Hope,호프,호프,ko,2026
1185,898704,Desert Warrior,데저트 워리어,Desert Warrior,en,2026
1277,1196067,Worldbreaker,월드브레이커,Worldbreaker,en,2025
1320,1248226,플레이데이트,언더커버 대디,Playdate,en,2026
1444,615173,The Witch: Part 2. The Other One,마녀 2,마녀 2,ko,2022
1506,1227877,I Love Boosters,아이 러브 부스터스,I Love Boosters,en,2026
1547,1500099,Versa,버사,Versa,en,2025
1565,486593,Women's War: Doggie's Uprising,여자전쟁: 도기의 난,여자전쟁: 도기의 난,ko,2016
1629,255709,Hope,소원,소원,ko,2013
1749,1251900,The Shrine,신사: 악귀의 속삭임,신사: 악귀의 속삭임,ko,2026
1767,1307247,OK! Madam: Bon Voyage,오케이 마담 2,오케이 마담 2,ko,2026
1828,451156,Infidelity in Suburbia,인피델리티 인 서버비아,Infidelity in Suburbia,en,2017
1832,1243741,Ballistic,발리스틱,Ballistic,en,2026
1839,508642,Gonjiam: Haunted Asylum,곤지암,곤지암,ko,2018
1869,1412598,킬러웨일: 침묵의 습격자,킬러 웨일: 침묵의 습격자,Killer Whale,en,2026
1965,1476740,Influencers,인플루언서 2,Influencers,en,2025
2055,599335,OK! Madam,오케이 마담,오케이 마담,ko,2020
2136,73456,Barbie: Princess Charm School,바비의 프린세스 스쿨,Barbie: Princess Charm School,en,2011
2144,277359,A Female Boss,여사장,여사장,ko,1959
2391,1083968,록트,잠금: 셧다운,Locked,en,2026
2497,37735,이지 A,엠마 스톤의 이지,Easy A,en,2011
2540,761053,Gabriel's Inferno: Part III,가브리엘의 지옥 파트 3,Gabriel's Inferno: Part III,en,2020
2556,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,돈 비 어 메니스 투 사우스 센트럴 와일 드링킹 유어 쥬스 인 더 후드,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,en,1996
2789,464733,Trafficked,트래픽트,Trafficked,en,2017
2841,1198657,Love Mate,러브메이트 THE MOVIE,러브메이트 THE MOVIE,ko,2023
2922,937941,Shelby Oaks,폐쇄구역: 셸비 오크스,Shelby Oaks,en,2026
2958,1105602,Step Mother is Nineteen,새엄마는 열아홉,새엄마는 열아홉,ko,2020
