movie_id,tmdb_id,current_title,localized_title,original_title,original_language,year
193,1301310,Zombies of the Third Reich,Zombies of the Third Reich,Zombies of the Third Reich,en,2025
198,1645603,Night of the Living Dead,Night of the Living Dead,Night of the Living Dead,en,2026
201,1254896,Beware the Boogeyman,Beware the Boogeyman,Beware the Boogeyman,en,2024
206,137051,Midnight Matinee,Midnight Matinee,Midnight Matinee,en,1988
305,1540365,Hippo's Revenge,Hippo's Revenge,Hippo's Revenge,en,2025
307,1711175,Summerween,Summerween,Summerween,en,2026
385,1463681,Southern Scares,Southern Scares,Southern Scares,en,2026
399,1469164,Casa Grande,Casa Grande,Casa Grande,en,2026
422,1601243,Oscar Shaw,Oscar Shaw,Oscar Shaw,en,2026
447,1146058,The Pout-Pout Fish,The Pout-Pout Fish,The Pout-Pout Fish,en,2026
467,189270,Interrupted Lovers,Interrupted Lovers,Interrupted Lovers,en,1896
484,1709914,Left Behind,Left Behind,Left Behind,en,2026
487,1720550,MEMORIES,MEMORIES,MEMORIES,en,2025
497,441168,From Straight A's to XXX,From Straight A's to XXX,From Straight A's to XXX,en,2017
507,1700359,Little Irada,Little Irada,Little Irada,en,
513,1721516,Singularity,Singularity,Singularity,en,2016
542,1712947,Memory Lapse,Memory Lapse,Memory Lapse,en,2026
559,1575352,Mean Boys,Mean Boys,Mean Boys,en,2025
572,432123,Savior,Savior,Savior,en,2015
585,1580451,The Victims,The Victims,The Victims,en,2021
588,1625102,Hamburger Heaven,Hamburger Heaven,Hamburger Heaven,en,2025
590,1693545,Eventually,Eventually,Eventually,en,2026
594,878452,The Telephone,The Telephone,The Telephone,en,1910
596,1693595,The Beginning.,The Beginning.,The Beginning.,en,2026
609,1696598,S4E9,S4E9,S4E9,en,2026
626,1129104,Flavia,Flavia,Flavia,en,2026
627,1458740,Wild Party,Wild Party,Wild Party,en,2025
628,1716258,Strong-Thing,Strong-Thing,Strong-Thing,en,2014
635,14161,2012,2012,2012,en,2009
653,1703965,Light Undying,Light Undying,Light Undying,en,2028
658,185058,Crush,Crush,Crush,en,2000
668,1668174,Velvet Gods,Velvet Gods,Velvet Gods,en,2026
675,1699300,Texas Rhapsody,Texas Rhapsody,Texas Rhapsody,en,2026
683,1534078,Fingertips,Fingertips,Fingertips,en,2025
687,1716847,The Getaway,The Getaway,The Getaway,en,2022
693,1665254,Life Asks,Life Asks,Life Asks,en,2026
703,1715920,Eyes I,Ojos,Ojos,en,2026
707,1701066,The Heist,The Heist,The Heist,en,2021
712,1699820,Vibeland Chronicles,Vibeland Chronicles,Vibeland Chronicles,en,2026
718,1536465,Boomer,Boomer,Boomer,en,2024
724,1650072,Destination North,Destination North,Destination North,en,2026
731,1683057,Si Solamente,Si Solamente,Si Solamente,en,2026
733,1687770,Lovesong,Lovesong,Lovesong,en,2026
743,1686640,One Stone,One Stone,One Stone,en,2026
772,1321008,Black Box,Black Box,Black Box,en,2026
777,1321491,The Banished,The Banished,The Banished,en,2025
826,204407,Bosco d'amore,Bosco d'amore,Bosco d'amore,en,1981
1065,1684828,Crazy Story,Crazy Story,Crazy Story,en,
1139,1352874,The Crucifix: Blood of the Exorcist,The Crucifix: Blood of the Exorcist,The Crucifix: Blood of the Exorcist,en,2025
1179,76768,The Devil In The Flesh,Il diavolo nella carne,Il diavolo nella carne,en,1991
1181,741929,Cold Feet,Cold Feet,Cold Feet,en,2019
1188,1627824,Rocky's Cat-astrophe,Rocky's Cat-astrophe,Rocky's Cat-astrophe,en,2026
1214,1724560,Unwind,Unwind,Unwind,en,
1219,30723,Cavegirl,Cavegirl,Cavegirl,en,1985
1285,1457884,The Heist,The Heist,The Heist,en,2025
1288,1523157,little death,little death,little death,en,2025
1317,1412956,Subway Series,Subway Series,Subway Series,en,2025
1333,530915,1917,1917,1917,en,2020
1337,854804,Movida,Movida,Movida,en,2020
1396,760104,X,X,X,en,2022
1441,1428990,This Is Not a Test,This Is Not a Test,This Is Not a Test,en,2026
1458,50043,Cousin Bette,Cousin Bette,Cousin Bette,en,1998
1470,1552368,Ghost Light,Ghost Light,Ghost Light,en,2025
1490,1412960,The Swordfish,The Swordfish,The Swordfish,en,2024
1495,1431804,40 Dates and 40 Nights,40 Dates and 40 Nights,40 Dates and 40 Nights,en,2026
1498,1695955,Treasure Reboot,Treasure Reboot,Treasure Reboot,en,2026
1511,1651461,Untitled Daniels Event Film,Untitled Daniels Event Film,Untitled Daniels Event Film,en,2027
1529,1515615,Kissing Is the Easy Part,Kissing Is the Easy Part,Kissing Is the Easy Part,en,2026
1532,1609607,Inauguration Day,Inauguration Day,Inauguration Day,en,
1546,53851,The Baroness and the Butler,The Baroness and the Butler,The Baroness and the Butler,en,1938
1558,1704809,The Dickhead,The Dickhead,The Dickhead,en,
1577,1536233,The Summoning of Baby Blue,The Summoning of Baby Blue,The Summoning of Baby Blue,en,2025
1590,1597863,Universe Designed,Universe Designed,Universe Designed,en,2025
1591,1621686,Unknown Company,Unknown Company,Unknown Company,en,
1598,776492,Antarctica: A Frozen History,Antarctica: A Frozen History,Antarctica: A Frozen History,en,2002
1604,932825,Morbid Curiosity,Morbid Curiosity,Morbid Curiosity,en,
1622,153104,Wicked Minds,Wicked Minds,Wicked Minds,en,2003
1625,1660624,Collision Course,Collision Course,Collision Course,en,2026
1637,1567856,Unreliable Witness,Unreliable Witness,Unreliable Witness,en,2025
1644,415556,Dick Turpin's Ride to York,Dick Turpin's Ride to York,Dick Turpin's Ride to York,en,1906
1656,1624470,Rouge Petals,Rouge Petals,Rouge Petals,en,2026
1665,1663082,The Last Supper,The Last Supper,The Last Supper,en,2025
1666,735376,Instinct,Instinct,Instinct,en,2019
1680,1694950,Belly Whizzer,Belly Whizzer,Belly Whizzer,en,
1684,1199193,Pose,Pose,Pose,en,2026
1688,880067,Strung,Strung,Strung,en,2026
1695,506406,Hello Apartment,Hello Apartment,Hello Apartment,en,2018
1740,915309,Called Up,Called Up,Called Up,en,2021
1744,1173559,Insidious Inferno,Insidious Inferno,Insidious Inferno,en,2024
1752,1693704,Study Hall,Study Hall,Study Hall,en,2026
1754,1634949,Lorne,Lorne,Lorne,en,2026
1764,1531861,Grave Mistakes,Grave Mistakes,Grave Mistakes,en,2025
1769,318093,Stinking Heaven,Stinking Heaven,Stinking Heaven,en,2015
1778,957119,Sidelined: The QB and Me,Sidelined: The QB and Me,Sidelined: The QB and Me,en,2025
1781,1243908,Shell Shocked,Shell Shocked,Shell Shocked,en,2024
1785,1650496,Setting Sail,Setting Sail,Setting Sail,en,2026
1787,164808,Fear and Loathing on the Road to Hollywood,Fear and Loathing on the Road to Hollywood,Fear and Loathing on the Road to Hollywood,en,1978
1792,1696759,PIPA,PIPA,PIPA,en,2025
1793,27873,Battletruck,Battletruck,Battletruck,en,1982
1799,1235192,Wormtown,Wormtown,Wormtown,en,2025
1831,1717206,Debunk'd,Debunk'd,Debunk'd,en,
1833,1532656,The Trek,The Trek,The Trek,en,
1855,1467820,Extra Credit,Extra Credit,Extra Credit,en,2024
1877,571055,Down,Down,Down,en,2019
1885,1205748,The Commuter,The Commuter,The Commuter,en,2024
1888,1473505,Kill Trip,Kill Trip,Kill Trip,en,2026
1891,1395697,Tragic,Tragic,Tragic,en,2024
1892,1723303,"Olan, Earthbound","Olan, Earthbound","Olan, Earthbound",en,2023
1906,1705447,snowfall,snowfall,snowfall,en,
1911,1665432,The Slashtronaut,The Slashtronaut,The Slashtronaut,en,2024
1915,1588765,Brandon & Haider,Brandon & Haider,Brandon & Haider,en,2026
1930,1327688,One Mile: Chapter One,One Mile: Chapter One,One Mile: Chapter One,en,2026
1962,1469594,Saboteurs,Saboteurs,Saboteurs,en,2025
1967,1399893,Dead-Weight,Dead-Weight,Dead-Weight,en,2025
1971,1565990,Mountain King,Mountain King,Mountain King,en,2026
1978,1519851,Order In,Order In,Order In,en,
1981,375846,Bad Sister,Bad Sister,Bad Sister,en,2015
2018,1696152,Welcome Home,Welcome Home,Welcome Home,en,2026
2019,1380316,Is God Is,Is God Is,Is God Is,en,2026
2021,1711124,The Intro,The Intro,The Intro,en,2026
2024,1475648,Minor Problem,Minor Problem,Minor Problem,en,2025
2029,52462,The Pet,The Pet,The Pet,en,2006
2038,1370054,Action!!!,Action!!!,Action!!!,en,2024
2042,1210442,Dear Allie,Dear Allie,Dear Allie,en,2024
2043,1723321,Fighting Feelings,Fighting Feelings,Fighting Feelings,en,2023
2068,85966,Night Call Nurses,Night Call Nurses,Night Call Nurses,en,1972
2076,1722680,Visible,Visible,Visible,en,2022
2114,1541560,Stop! That! Train!,Stop! That! Train!,Stop! That! Train!,en,2026
2116,1663726,Kuroorwa kwaChipo,Kuroorwa kwaChipo,Kuroorwa kwaChipo,en,2021
2123,70345,Sssssss,Sssssss,Sssssss,en,1973
2135,202941,Mail Order Bride,Mail Order Bride,Mail Order Bride,en,1964
2138,1293162,Thieves Highway,Thieves Highway,Thieves Highway,en,2025
2139,1722828,Sensory Overload,Sensory Overload,Sensory Overload,en,2023
2149,1639832,Open Tabs,Open Tabs,Open Tabs,en,2026
2162,1509968,"We, Brothers","We, Brothers","We, Brothers",en,2026
2167,1598804,Night Shift,Night Shift,Night Shift,en,2025
2171,1716452,Crohnie,Crohnie,Crohnie,en,
2184,1455079,"You, Me & Tuscany","You, Me & Tuscany","You, Me & Tuscany",en,2026
2190,527587,Shoot to Kill,Shoot to Kill,Shoot to Kill,en,2016
2196,92060,Michael Jackson's Thriller,Michael Jackson's Thriller,Michael Jackson's Thriller,en,1983
2205,1002575,The Interview,The Interview,The Interview,en,1981
2212,1630475,Dead Roommate,Dead Roommate,Dead Roommate,en,2026
2213,1700649,Remedy,Remedy,Remedy,en,2026
2216,1694714,Untitled documentary,Untitled documentary,Untitled documentary,en,
2220,1121433,Master Sensei,Master Sensei,Master Sensei,en,2023
2227,1147610,Gangland,Gangland,Gangland,en,2025
2236,1635331,Puppet Love,Puppet Love,Puppet Love,en,2026
2241,1720160,PSST!,PSST!,PSST!,en,2025
2243,1583457,PROXY,PROXY,PROXY,en,2026
2245,1511264,Dirty Blue,Dirty Blue,Dirty Blue,en,
