movie_id,tmdb_id,current_title,localized_title,original_title,original_language,year
535,1712447,Fight Dirty,,,,2026
661,1594872,Blind Justice,,,,2018
1395,1595445,The Renegade,,,,2015
1531,1597655,Injustice: Mortal,,,,2019
1826,1597665,Injustice: Armageddon,,,,2020
1868,1597677,Fallen Kingdom,,,,2019
2006,1694305,Faceless: Retribution,,,,2026
2086,1396464,Roadkill,,,,2024
2175,1701518,Heated Pingpong,,,,2026
2202,1355407,Going Down,,,,2024
2231,1194505,Mimic,,,,2023
2674,1311798,Enter Prompt,,,,2024
2881,1434809,Immortal Man,,,,2025
2956,1233146,Shotgun!,,,,2024
2991,1593329,Racin' Jason,,,,2025
3163,887226,Speed Dating,,,,2021
3277,1579145,Twilight?,,,,2025
3400,1008547,Terrible Teens,,,,2022
3567,1241951,Midnight Snack,,,,2024
3688,1360627,The Root,,,,2024
3736,1579132,Run!,,,,2025
4124,1707602,Placebo,,,,2024
4143,899938,Griffins In DC : A Middle School Trip Documentary,,,,2019
4398,1160185,What Now?,,,,2023
4638,1052924,Phantom,,,,2022
4995,1094252,The LloydPergs,,,,2023
5258,1257871,Killer Track,,,,2024
5266,1081731,Drifter,,,,2023
5298,1187442,Magnetic Massacre,,,,2023
